mr,ref
"name[Blue Spice], priceRange[Â£20-25], area[riverside]",Blue Spice has items in the  £20-25 price range and is in riverside.
"name[The Punter], food[Japanese], priceRange[more than Â£30]",A Japanese restaurant with a price range of more than £30 is called The Punter.
"name[The Rice Boat], food[Japanese], area[city centre]","Located in the city centre, The Rice Boat offers Japanese cuisine."
"name[The Punter], food[Italian], priceRange[high]",The Punter is a high priced establishment offering Italian cuisine.
"name[Midsummer House], customer rating[average], near[The Bakers]",an average restaurant would be Midsummer House near The Bakers.
"name[The Punter], food[French], priceRange[more than Â£30]",The Punter is a high priced restaurant serving French food.
"name[Alimentum], area[riverside], kidsFriendly[yes]",In Riverside you will find the kid-friendly restaurant Alimentum.
"name[The Golden Curry], familyFriendly[no], near[The Six Bells]",Near The Six Bells is The Golden Curry. It is not family friendly.
"name[Blue Spice], priceRange[high], area[riverside]",Blue Spice has a high price range and is by the riverside
"name[The Phoenix], customer rating[5 out of 5], area[riverside]",In the riverside there is a high rated restaurant called The Phoenix.
"name[The Waterman], priceRange[moderate], kidsFriendly[no]",Welcome to The Waterman. Where our price range for you is moderate. We are not kid friendly
"name[Wildwood], eatType[restaurant], kidsFriendly[yes]",There is a kids friendly restaurant called Wildwood.
"name[The Rice Boat], food[Italian], area[riverside]","If you want Italian food and are in the riverside area, visit The Rice Boat."
"name[The Eagle], food[Japanese], customer rating[5 out of 5]",The Eagle serves Japanese cuisine and has a customer rating of 5 out of 5.
"name[Browns Cambridge], priceRange[more than Â£30], customer rating[high]",Browns Cambridge is rated high by its customers and has a price range of more than £30.
"name[The Vaults], eatType[restaurant], food[Fast food]",The Vaults is a fast food-type restaurant.
"name[The Eagle], food[Italian], customer rating[average]",The Eagle is a restaurant that sells good quality Italian food located in the City center.
"name[The Golden Curry], kidsFriendly[yes], near[The Six Bells]","Located near The Six Bells, The Golden Curry is kid friendly."
"name[The Twenty Two], food[Fast food], familyFriendly[yes]",The Twenty Two is a family friendly fast food place.
"name[The Punter], food[English], priceRange[moderate]",The Punter is moderately priced dining English food.
"name[Midsummer House], customer rating[average], near[The Bakers]",Midsummer House has average customer ratings and is located near The Bakers.
"name[The Eagle], food[Chinese], customer rating[high]",Highly rated Chinese food can be found at The Eagle.
"name[The Phoenix], customer rating[high], area[riverside]",high customer ratings can be found at The Phoenix located by the riverside
"name[The Punter], food[French], priceRange[more than Â£30]",The Punter offers French food priced at over £30
"name[The Punter], food[Chinese], priceRange[high]",A high priced restaurant that serves Chinese food is The Punter.
"name[Alimentum], area[riverside], kidsFriendly[yes]",Alimentum in the riverside area is child friendly.
"name[Green Man], eatType[restaurant], area[city centre]",There is a restaurant in the city centre called the Green Man.
"name[Midsummer House], customer rating[1 out of 5], near[The Bakers]","Located near The Bakers, Midsummer House has a customer rating of 1 star out of 5."
"name[Cotto], food[French], near[Cafe Rouge]",Cotto serves French food. It is located near caffe Rouge.
"name[The Punter], food[Japanese], priceRange[Â£20-25]",The Punter serves Japanese food with a price range of 20-25
"name[The Eagle], food[Italian], customer rating[1 out of 5]",The Eagle serves Italian food. I has a rating of 1 out of 5.
"name[The Golden Curry], children-friendly[yes], near[The Six Bells]",The Golden Curry is near The Six Bells and has children friendly service.
"name[The Wrestlers], customer rating[1 out of 5], kidsFriendly[yes]",The Wrestlers is a kids friendly place and it has a good customer rating.
"name[The Punter], food[English], priceRange[high]",The Punter is a pricey English restaurant.
"name[The Eagle], food[Fast food], customer rating[5 out of 5]",The Eagle is a fast food restaurant with a high rating.
"name[Wildwood], eatType[restaurant], kidsFriendly[yes]",Wildwood is a child-friendly restaurant.
"name[The Twenty Two], food[Indian], kidsFriendly[yes]",The Twenty Two allows children and serves Indian food.
"name[The Punter], food[Chinese], priceRange[high]",The Punter is a Chines restaurant with high prices.
"name[The Wrestlers], customer rating[1 out of 5], children-friendly[yes]","Although The Wrestlers has a children friendly environment, it is only rated one star by its customers."
"name[Bibimbap House], area[city centre], near[Caffe Sicilia]",A restaurant named Bibimbap House is located near Caffe Sicilia in the city centre area.
"name[Alimentum], area[riverside], familyFriendly[yes]",Alimentum is a family friendly place in the riverside area.
"name[The Wrestlers], customer rating[1 out of 5], children-friendly[yes]","The Wrestlers have a low rating, but their environment is very kid friendly."
"name[The Punter], food[Fast food], priceRange[Â£20-25]",The Punter is a fast food restaurant priced £20-£25
"name[Midsummer House], customer rating[5 out of 5], near[The Bakers]","For a 5 of 5 customer rating, try Midsummer House near The Bakers."
"name[The Eagle], food[French], customer rating[1 out of 5]","The Eagle provides French cuisine, and has a customer rating of 1 out of 5."
"name[The Punter], food[Fast food], priceRange[more than Â£30]",The Punter produces pricey Fast food.
"name[The Punter], food[Chinese], priceRange[cheap]",Cheap Chinese food is on offer at The Punter.
"name[The Twenty Two], food[Indian], kidsFriendly[yes]",The Twenty Two id kid friendly and serves Indian food.
"name[The Eagle], food[Japanese], customer rating[1 out of 5]",The Eagle's Japanese food is rated 1 out of 5.
"name[Blue Spice], priceRange[more than Â£30], area[city centre]","Blue Spice is in the center of the city, but it's relatively expensive"
"name[The Wrestlers], customer rating[5 out of 5], children-friendly[yes]",The Wrestlers is children friendly and is rated 5 out of 5.
"name[The Punter], food[French], priceRange[moderate]","The price range of French food in The Punter, is moderate."
"name[Midsummer House], customer rating[1 out of 5], near[The Bakers]",Midsummer House is located near The Bakers and has a 1 out of 5 star rating.
"name[Fitzbillies], priceRange[moderate], near[Rainbow Vegetarian Cafe]",Fitzbillies is a moderately priced place located near Rainbow Vegetarian cafÃ©.
"name[The Wrestlers], customer rating[average], familyFriendly[yes]","One family friendly venue is The Wrestlers.  It is averagely rated.  Near caffe Rouge is a Japanese,  family friendly place called The Golden Curry.  It is riverside and has high customer ratings."
"name[Fitzbillies], priceRange[high], near[Rainbow Vegetarian Cafe]",Fitzbillies is located near Rainbow Vegetarian caffe and its prices are high.
"name[Wildwood], eatType[restaurant], kidsFriendly[yes]",There is a kid friendly restaurant called Wildwood.
"name[The Rice Boat], food[Italian], area[riverside]",The Rice Boat offers Italian food. It is located in the riverside area.
"name[The Punter], food[Japanese], priceRange[less than Â£20]",The Punter Less then £20 serving Japanese
"name[Blue Spice], priceRange[less than Â£20], area[riverside]",Blue Spice is near the riverside and has prices under  £20.
"name[The Phoenix], customer rating[1 out of 5], area[riverside]",The Phoenix has a customer rating of 1 out of 5 and is located within riverside.
"name[Strada], eatType[restaurant], customer rating[low]",Low-rated Strada is a restaurant.
"name[The Golden Palace], eatType[restaurant], priceRange[moderate]",A restaurant with a moderate price range is The Golden Palace.
"name[The Twenty Two], food[Indian], familyFriendly[no]",The Twenty Two serves Indian food.
"name[Browns Cambridge], priceRange[less than Â£20], customer rating[average]",Browns Cambridge is an average-rated restaurant in the less than £20 price range.
"name[The Punter], food[Japanese], priceRange[moderate]",The Punter is a Japanese restaurant with a moderate price range
"name[The Wrestlers], customer rating[5 out of 5], children-friendly[yes]",The Wrestlers is a child friendly restaurant with a 5 out of 5 rating.
"name[Strada], eatType[restaurant], customer rating[1 out of 5]",rated 1 out of 5 the Strada is a restaurant
"name[The Twenty Two], food[Italian], kidsFriendly[yes]",The Twenty Two is a kid friendly Italian restaurant.
"name[The Eagle], food[French], customer rating[average]",The Eagle primarily does wine tastings and pairings and is a three star restaurant.
"name[The Twenty Two], food[English], familyFriendly[yes]",The family friendly The Twenty Two serves British food and can be found in the city centre.
"name[The Twenty Two], food[Italian], kidsFriendly[yes]",The Twenty Two offers Italian food in a kid friendly venue.
"name[Browns Cambridge], priceRange[moderate], customer rating[3 out of 5]",Browns Cambridge is moderately priced and is rated by customers at 3 out of 5.
"name[The Wrestlers], customer rating[3 out of 5], kidsFriendly[yes]",The Wrestlers has satisfactory reviews and is kid friendly.
"name[The Wrestlers], customer rating[low], familyFriendly[no]",The Wrestlers is a non family-friendly show with a low customer rating.
"name[Midsummer House], customer rating[high], near[The Bakers]","Located near The Bakers, and with a high rating is Midsummer House."
"name[The Punter], food[Indian], priceRange[less than Â£20]","Indian food, for less than £20, is on offer at The Punter."
"name[Clowns], eatType[restaurant], near[The Portland Arms]",Clowns is a restaurant located a few steps of The Portland Arms.
"name[The Wrestlers], customer rating[3 out of 5], kidsFriendly[yes]",The Wrestlers has a 3 out of 5 customer rating. It is kid-friendly.
"name[Fitzbillies], priceRange[Â£20-25], near[Rainbow Vegetarian Cafe]",Fitzbillies is a £20-25 price range place near Rainbow Vegetarian caffe.
"name[The Twenty Two], food[French], kidsFriendly[yes]",The Twenty Two is a kid friendly restaurant that offers French food.
"name[The Punter], food[Italian], priceRange[Â£20-25]",The Punter serves Italian food and usually costs between £20-25.
"name[The Eagle], food[French], customer rating[3 out of 5]",The Eagle is a French food venue with a 3 out of 5 customer rating.
"name[The Twenty Two], food[English], familyFriendly[no]",The Twenty Two offers English food for adult dining.
"name[Wildwood], eatType[restaurant], familyFriendly[yes]",Wildwood is a family friendly restaurant.
"name[The Twenty Two], food[French], children-friendly[yes]",The Twenty Two offers children friendly French food.
"name[The Twenty Two], food[Fast food], children-friendly[yes]",The Twenty Two is a fast food restaurant that is children friendly.
"name[The Eagle], food[Fast food], customer rating[high]","Fast food outlet The Eagle, has a high customer rating."
"name[The Waterman], priceRange[moderate], kidsFriendly[no]",The Waterman has a moderate price range and is not kid friendly.
"name[The Twenty Two], food[French], familyFriendly[no]",There is a dine in restaurant  The Twenty Two. It is not family friendly.
"name[The Twenty Two], food[Chinese], familyFriendly[yes]",The Twenty Two is a Chinese restaurant and is family friendly.
"name[The Twenty Two], food[Chinese], kidsFriendly[yes]",The Twenty Two is open to customers of all ages who are looking for Chinese cuisine.
"name[The Waterman], priceRange[high], children-friendly[yes]",The Waterman is a children Friendly in the high Price range.
"name[The Eagle], food[English], customer rating[5 out of 5]",The English food restaurant   called The Eagle has a high customer rating
"name[The Eagle], food[English], customer rating[high]",The Eagle is an English style restaurant that is highly recommended.
"name[The Twenty Two], food[Japanese], kidsFriendly[yes]","The Japanese food restaurant, The Twenty Two, is kids friendly."
"name[The Rice Boat], food[Fast food], area[riverside]",The Rice Boat is a fast food choice if you are in the riverside area.
"name[Clowns], eatType[restaurant], near[The Portland Arms]",Clowns is a restaurant by The Portland Arms.
"name[The Twenty Two], food[English], familyFriendly[no]",The Twenty Two has English food and is not family-friendly.
"name[Fitzbillies], priceRange[moderate], near[Rainbow Vegetarian Cafe]",Fitzbillies is moderately priced and near Rainbow Vegetarian cafÃ©.  The Rice Boat serves fast food in the riverside area.  It is family friendly but has a low customer rating.
"name[The Twenty Two], food[Italian], familyFriendly[yes]","If you're looking for family-friendly, Italian food, The Twenty Two is the place to go."
"name[The Eagle], food[English], customer rating[low]","The English restaurant, The Eagle, has a low customer rating."
"name[The Eagle], food[Fast food], customer rating[3 out of 5]",The Eagle is a fast food restaurant that has received a customer rating of 3 out of 5.
"name[The Twenty Two], food[Chinese], familyFriendly[no]",The Twenty Two provides Chinese food
"name[The Twenty Two], food[Italian], kidsFriendly[yes]",The Twenty Two offers Italian food in a kids friendly environment.
"name[Fitzbillies], priceRange[more than Â£30], near[Rainbow Vegetarian Cafe]",Fitzbillies is located close to the Rainbow Vegetarian cafÃ© with a price range of more than £30.
"name[Wildwood], eatType[restaurant], familyFriendly[yes]",Wildwood is a kid friendly restaurant.
"name[The Eagle], food[Indian], customer rating[5 out of 5]",The Eagle has Indian food and a high customer rating.
"name[The Eagle], food[Japanese], customer rating[3 out of 5]",The Eagle is a Japanese restaurant with a 3 out of 5 star rating.
"name[The Eagle], food[Fast food], customer rating[low]","The Eagle, rated one star offers complete meal deals that is friendly to all."
"name[The Punter], food[Japanese], priceRange[Â£20-25]","The Punter, Japanese restaurant prices £20-25."
"name[The Twenty Two], food[English], kidsFriendly[yes]",The Twenty Two is children friendly and serves English food.
"name[Browns Cambridge], priceRange[less than Â£20], customer rating[low]",Browns Cambridge has a price range that is less than £20. It has a low customer rating.
"name[The Vaults], eatType[restaurant], food[Italian]",There is an Italian restaurant called The Vaults.
"name[The Eagle], food[Japanese], customer rating[3 out of 5]",The Eagle serves Japanese food and has a customer rating of 3 out of 5.
"name[Wildwood], eatType[restaurant], kidsFriendly[yes]",Wildwood is a children friendly restaurant.
"name[The Waterman], priceRange[Â£20-25], kidsFriendly[yes]","The kids friendly venue, The Waterman offers prices ranging from £20 to £25"
"name[The Rice Boat], food[Italian], area[riverside]",For Italian food in a riverside location try The Rice Boat.
"name[The Phoenix], customer rating[5 out of 5], area[riverside]",The Phoenix boasts a perfect customer rating. It's located in the riverside area.
"name[The Golden Palace], eatType[restaurant], priceRange[moderate]",The Golden Palace is a moderate priced restaurant
"name[The Eagle], food[Fast food], customer rating[low]",The Eagle is a low rated fast food.
"name[The Eagle], food[Chinese], customer rating[3 out of 5]","With a customer rating of 3 out of 5, The Eagle serves Chinese food."
"name[Midsummer House], customer rating[1 out of 5], near[The Bakers]",Midsummer House is located near The Bakers  customer rating 1 out of 5
"name[The Twenty Two], food[English], familyFriendly[yes]",The Twenty Two is a Family restaurant with English style food.
"name[The Golden Palace], eatType[restaurant], priceRange[cheap]",The Golden Palace is a restaurant that is cheap.
"name[The Eagle], food[Chinese], customer rating[3 out of 5]",The Eagle serves Chinese food and has a customer rating of 3 out of 5.
"name[The Eagle], food[English], customer rating[average]",The Eagle is a 3 star pub offering traditional British food
"name[The Twenty Two], food[French], kidsFriendly[yes]",The Twenty Two is a very kids friendly French food restaurant.
"name[The Wrestlers], customer rating[5 out of 5], familyFriendly[yes]",The Wrestlers has a customer rating of 5 out of 5. It is a family friendly place.
"name[Cotto], food[Fast food], near[Cafe Rouge]","Cotto, near caffe Rouge, sells fast food."
"name[The Punter], food[English], priceRange[more than Â£30]","With a price range of more than £30, The Punter serves English food."
"name[The Twenty Two], food[English], children-friendly[yes]",For a children-friendly English restaurant The Twenty Two is the place to go.
"name[Browns Cambridge], priceRange[cheap], customer rating[5 out of 5]",Browns Cambridge is a restaurant providing in the cheap price range and people rating 5 out of 5
"name[Cotto], food[Japanese], near[Cafe Rouge]",For Japanese food visit Cotto located near caffe Rouge
"name[The Rice Boat], food[French], area[riverside]",The Rice Boat provides French food and is located in the riverside area
"name[Fitzbillies], priceRange[high], near[Rainbow Vegetarian Cafe]",Fitzbillies has a high price range and is located near Rainbow Vegetarian caffe.
"name[The Golden Curry], familyFriendly[no], near[The Six Bells]",The Golden Curry is restaurant that does not allow children. It is located near to The Six Bells.
"name[The Punter], food[Japanese], priceRange[Â£20-25]","The Punter restaurant, sell Japanese food, only £20-25."
"name[The Golden Curry], familyFriendly[yes], near[The Six Bells]",The Golden Curry is located near The Six Bells and boasts a family-friendly atmosphere.
"name[The Eagle], food[Indian], customer rating[5 out of 5]","The Eagle provides a 5 out of five rating on Indian food, but the rest of their food is sub par."
"name[The Eagle], food[Japanese], customer rating[low]",The Eagle has low ratings for serving Japanese food.
"name[Strada], eatType[restaurant], customer rating[low]",Strada a restaurant has a low rating
"name[Blue Spice], priceRange[less than Â£20], area[city centre]",Blue Spice has a price range less than £20. It is in the centre of the city.
"name[The Punter], food[Japanese], priceRange[Â£20-25]",The Punter serves Japanese for£20-25.
"name[The Punter], food[Indian], priceRange[less than Â£20]",The Punter is a cheap Indian restaurant
"name[Wildwood], eatType[restaurant], kidsFriendly[yes]","There is a restaurant called Wildwood, that is child friendly."
"name[The Twenty Two], food[Italian], kidsFriendly[yes]",The Twenty Two is child friendly and serves Italian food.
"name[The Golden Palace], eatType[restaurant], priceRange[high]",The Golden Palace is a high priced restaurant.
"name[Blue Spice], priceRange[Â£20-25], area[riverside]",Blue Spice  serves food in the £20-25 price range and is along the riverside.
"name[Browns Cambridge], priceRange[high], customer rating[1 out of 5]",Browns Cambridge is an expensive restaurant with a rating of 1 out of 5
"name[The Waterman], priceRange[less than Â£20], familyFriendly[yes]",A family friendly venue named The Waterman has a price range of less than £20 per person.
"name[The Punter], food[French], priceRange[less than Â£20]",Visit The Punter for inexpensive French dining.
"name[The Punter], food[Fast food], priceRange[less than Â£20]",The Punter offers fast food for less than £20.
"name[The Vaults], eatType[restaurant], food[Japanese]",A Japanese restaurant is The Vaults.
"name[The Vaults], eatType[restaurant], food[Italian]",The Vaults restaurant serves Italian food.
"name[The Twenty Two], food[French], children-friendly[yes]",The Twenty Two offers French food and a child-friendly atmosphere.
"name[The Eagle], food[English], customer rating[5 out of 5]",There is a 5 star restaurant called The Eagle.
"name[The Punter], food[Indian], priceRange[less than Â£20]",The Punter is a local restaurant that offers Indian food for less than 20 pounds.
"name[The Punter], food[Italian], priceRange[cheap]",The Punter offers cheap Italian food.
"name[Browns Cambridge], priceRange[less than Â£20], customer rating[low]","Customer rated low, Browns Cambridge has a price range less than 20 pounds."
"name[The Eagle], food[Fast food], customer rating[low]",The Eagle is a fast food with low customer rating.
"name[The Rice Boat], food[Indian], area[city centre]",The Rice Boat is an Indian restaurant in the city centre.
"name[The Wrestlers], customer rating[1 out of 5], kidsFriendly[yes]",A kids friendly venue with a low rating is called The Wrestlers.
"name[The Twenty Two], food[French], kidsFriendly[yes]",Kid friendly French food at The Twenty Two.
"name[The Punter], food[Japanese], priceRange[more than Â£30]",The Punter serves Japanese food for more than £30.
"name[The Punter], food[Japanese], priceRange[more than Â£30]",The Punter is a Japanese restaurant with a price range more than £30.
"name[The Eagle], food[Chinese], customer rating[high]",The Eagle is a highly rated Chinese restaurant.
"name[Blue Spice], priceRange[Â£20-25], area[riverside]",Blue Spice has a price range of £20-25.  It is located in Riverside.
"name[The Twenty Two], food[Italian], familyFriendly[no]",The Twenty Two serves Italian food and is not family-friendly.
"name[Browns Cambridge], priceRange[Â£20-25], customer rating[high]",Browns Cambridge has average prices and high customer ratings.
"name[The Punter], food[Fast food], priceRange[more than Â£30]",The Punter is a fast food place which is very expensive.
"name[The Punter], food[Italian], priceRange[moderate]","For reasonably priced food, visit The Punter."
"name[The Punter], food[Italian], priceRange[less than Â£20]",The Punter is a restaurant that offers Italian cuisine at a fair price. Prices are usually under twenty pounds.
"name[The Twenty Two], food[Fast food], children-friendly[yes]",The Twenty Two is a fast food restaurant that is kid friendly.
"name[Cotto], food[Indian], near[Cafe Rouge]",Cotto provides Indian food. It is near caffe Rouge.
"name[The Wrestlers], customer rating[high], children-friendly[yes]",The Wrestlers restaurant has a high customer rating and is child friendly.
"name[Blue Spice], priceRange[Â£20-25], area[riverside]",Blue Spice is in the riverside area with an average price range.
"name[Fitzbillies], priceRange[cheap], near[Rainbow Vegetarian Cafe]",Fitzbillies is a cheap restaurant near Rainbow Vegetarian caffe.
"name[Bibimbap House], area[city centre], near[Caffe Sicilia]",A restaurant called Bibimbap House is located near Caffe Sicilia in the city centre area.
"name[Blue Spice], priceRange[more than Â£30], area[riverside]","Blue Spice is a restaurant located in the riverside area, with a price range of more than £30."
"name[The Rice Boat], food[Indian], area[city centre]",The Rice Boat offers Indian food and is located in the city centre.
"name[Bibimbap House], area[riverside], near[Caffe Sicilia]",In the riverside area there is a restaurant called Bibimbap House. It located near Caffe Sicilia.
"name[The Wrestlers], customer rating[3 out of 5], children-friendly[yes]",The Wrestlers welcomes children and is an average restaurant.
"name[Browns Cambridge], priceRange[high], customer rating[average]","The Browns Cambridge, with a high price range, has an average customer rating."
"name[The Wrestlers], customer rating[low], familyFriendly[no]",The Wrestlers is a non family-friendly show with a low customer rating.
"name[The Punter], food[Japanese], priceRange[moderate]",The Punter is a low to mid price sushi restaurant.
"name[The Eagle], food[English], customer rating[5 out of 5]",The Eagle is rated five stars for full English breakfast
"name[The Twenty Two], food[Chinese], familyFriendly[yes]",The Twenty Two is a family friendly Chinese restaurant.
"name[Cotto], food[Italian], near[Cafe Rouge]",Near cafÃ© Rouge Cotto serves Italian food.
"name[Fitzbillies], priceRange[cheap], near[Rainbow Vegetarian Cafe]",Fitzbillies is an inexpensive restaurant near Rainbow Vegetarian caffe.
"name[The Punter], food[English], priceRange[cheap]",Go to The Punter for cheap English food.
"name[Fitzbillies], priceRange[high], near[Rainbow Vegetarian Cafe]",Fitzbillies is in the high price range and is located near the Rainbow Vegetarian caffe.
"name[The Wrestlers], customer rating[low], familyFriendly[no]",The Wrestlers has a low customer rating and is not family friendly.
"name[The Wrestlers], customer rating[average], familyFriendly[yes]",The Wrestlers is an average family friendly place.
"name[Wildwood], eatType[restaurant], familyFriendly[no]",Wildwood is a restaurant  for a mature public
"name[The Eagle], food[Italian], customer rating[high]",The Eagle is an Italian eatery with a high rating.
"name[The Eagle], food[Japanese], customer rating[3 out of 5]",Japanese food is served at The Eagle with a customer rating of 3 out of 5.
"name[Midsummer House], customer rating[average], near[The Bakers]",If you are looking for a restaurant with an average customer rating then Midsummer House near The Bakers is the place
"name[The Punter], food[Chinese], priceRange[cheap]","There is a cheap Chinese restaurant, called The Punter."
"name[The Golden Curry], children-friendly[yes], near[The Six Bells]",Located near The Six Bells is a kids-friendly place called The Golden Curry.
"name[The Eagle], food[Chinese], customer rating[5 out of 5]",The Eagle has a customer rating of 5 out of 5 for their Chinese food.
"name[The Punter], food[French], priceRange[more than Â£30]",The Punter has 3 stars and a variety of food
"name[The Rice Boat], food[Japanese], area[riverside]",For Japanese food in the riverside area try The Rice Boat.
"name[The Rice Boat], food[French], area[city centre]","For French food, there is The Rice Boat in the city centre."
"name[The Eagle], food[Indian], customer rating[low]",There is an Indian restaurant called The Eagle but it has a low customer rating.
"name[Browns Cambridge], priceRange[more than Â£30], customer rating[high]",Browns Cambridge has a high customer rating with a price range of more than £30.
"name[The Twenty Two], food[Fast food], children-friendly[yes]",The Twenty Two is a child friendly fast food outlet.
"name[The Punter], food[Italian], priceRange[cheap]",The Punter is an inexpensive Italian restaurant.
"name[Cotto], food[Fast food], near[Cafe Rouge]",Close to caffe Rouge there is a Fast food place called Cotto.
"name[Midsummer House], customer rating[high], near[The Bakers]","High customer rating, Midsummer House, is near The Bakers."
"name[The Twenty Two], food[Japanese], kidsFriendly[yes]",There  is a kid friendly restaurant called The Twenty Two that serves Japanese food.
"name[Strada], eatType[restaurant], customer rating[low]",A restaurant named Strada has low customer rating
"name[The Vaults], eatType[restaurant], food[French]",The Vaults is a French food style restaurant.
"name[The Punter], food[Indian], priceRange[high]",The Punter is a restaurant that offers Indian food at a high price.
"name[Wildwood], eatType[restaurant], familyFriendly[yes]",The Wildwood restaurant is family friendly.
"name[The Golden Curry], familyFriendly[yes], near[The Six Bells]",The Golden Curry is found near The Six Bells. It has a family friendly setting.
"name[The Golden Curry], familyFriendly[no], near[The Six Bells]",The Golden Curry near The Six Bells is not family-friendly.
"name[The Golden Palace], eatType[restaurant], priceRange[more than Â£30]",There is a restaurant named The Golden Palace which costs more than £30 to eat here.
"name[The Eagle], food[Japanese], customer rating[high]",The Japanese restaurant with the high customer rating is called The Eagle
"name[The Eagle], food[Fast food], customer rating[5 out of 5]",The Eagle is a fast food place that received a 5 out of 5 customer rating.
"name[Green Man], eatType[restaurant], area[city centre]",The Green Man is a restaurant located in the centre of the city.
"name[The Eagle], food[English], customer rating[low]",The Eagle serves English food with a customer rating of low.
"name[The Punter], food[Italian], priceRange[high]",The Punter has Italian style cuisine.
"name[The Twenty Two], food[English], children-friendly[yes]",The Twenty Two is the place to go with your family to get English food.
"name[The Twenty Two], food[Fast food], kidsFriendly[yes]",The Twenty Two offers Fast food for kids Friendly.
"name[The Rice Boat], food[Italian], area[riverside]",The Rice Boat offers an Italian menu in the riverside area.
"name[The Punter], food[French], priceRange[moderate]",The Punter serves French food. It has a moderate price range.
"name[The Punter], food[French], priceRange[cheap]",The Punter sells cheap French food
"name[Bibimbap House], area[city centre], near[Caffe Sicilia]",Bibimbap House is in the city center near Caffe Sicilia.
"name[The Rice Boat], food[English], area[riverside]",An English restaurant called The Rice Boat can be found near the river.
"name[The Eagle], food[Chinese], customer rating[average]",The Chinese food at The Eagle restaurant is average.
